id,No,No2,登録番号,社名,代表者名1,本店支店,住所,URL,免許証番号,法人個人の別,免許の有効期間,最初の免許年月日,称号・名称,代表者名2,電話番号,加入している協会,資本金,業種1,業種2,業種3,業種4,事務所名称,事務所の区分,設置年月日,所在地,TEL
150751,790,鹿児島県,(04)第005292号,ハセコー不動産,長谷　俊明,本店,鹿児島県鹿児島市皇徳寺台３－２６－２,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005292,鹿児島県知事免許　(04)第005292号,個人,R02年02月15日からR07年02月14日まで,H17年02月14日,ハセコー不動産,長谷　俊明,099-264-9733,（公社）全国宅地建物取引業保証協会,0千円,建設業,,,,本店,主,2/14/2005,"〒891-0103
鹿児島県鹿児島市皇徳寺台３－２６－２",099-264-9733
150752,791,鹿児島県,(04)第005294号,いなもり不動産,稲森　実,本店,鹿児島県姶良市西餅田３１９２－５,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005294,鹿児島県知事免許　(04)第005294号,個人,R02年02月15日からR07年02月14日まで,H17年02月14日,いなもり不動産,稲森　実,0995-66-0218,（公社）全国宅地建物取引業保証協会,0千円,不動産管理業,,,,本店,主,2/14/2005,"〒899-5431
鹿児島県姶良市西餅田３１９２－５",0995-66-0218
150753,792,鹿児島県,(04)第005296号,アップ・ホーム,甲斐　光枝,本店,鹿児島県鹿児島市武岡４－２８－５,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005296,鹿児島県知事免許　(04)第005296号,個人,R02年03月01日からR07年02月28日まで,H17年02月28日,アップ・ホーム,甲斐　光枝,099-283-3363,（公社）全国宅地建物取引業保証協会,0千円,不動産管理業,,,,本店,主,2/28/2005,"〒890-0031
鹿児島県鹿児島市武岡４－２８－５",099-283-3363
150754,793,鹿児島県,(04)第005297号,有限会社スズ企画,田平　俊夫,本店,鹿児島県鹿児島市宇宿１－２８－１５,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005297,鹿児島県知事免許　(04)第005297号,法人,R02年03月01日からR07年02月28日まで,H17年02月28日,有限会社スズ企画,田平　俊夫,099-255-6222,（公社）全国宅地建物取引業保証協会,"6,500千円",不動産管理業,不動産賃貸業,,,本店,主,2/28/2005,"〒890-0073
鹿児島県鹿児島市宇宿１－２８－１５",099-255-6222
150755,794,鹿児島県,(04)第005298号,有限会社Ｕ・トラスト,岩元　裕一郎,本店,鹿児島県鹿児島市鴨池新町３０－１１,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005298,鹿児島県知事免許　(04)第005298号,法人,R02年03月01日からR07年02月28日まで,H17年02月28日,有限会社Ｕ・トラスト,岩元　裕一郎,099-286-0905,（公社）全国宅地建物取引業保証協会,"3,000千円",兼業なし,,,,本店,主,2/28/2005,"〒890-0064
鹿児島県鹿児島市鴨池新町３０－１１",099-286-0905
150756,795,鹿児島県,(04)第005299号,武岡地所株式会社,寺田　信義,本店,鹿児島県鹿児島市西田３－６－１２,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005299,鹿児島県知事免許　(04)第005299号,法人,R02年03月15日からR07年03月14日まで,H17年03月14日,武岡地所株式会社,寺田　信義,099-230-7677,（公社）全国宅地建物取引業保証協会,"10,000千円",不動産賃貸業,不動産管理業,,,本店,主,3/14/2005,"〒890-0046
鹿児島県鹿児島市西田３－６－１２",099-230-7677
150757,796,鹿児島県,(04)第005300号,ウイングホーム,福本　博文,本店,鹿児島県鹿児島市東谷山２－１４－３,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005300,鹿児島県知事免許　(04)第005300号,個人,R02年03月15日からR07年03月14日まで,H17年03月14日,ウイングホーム,福本　博文,099-268-0545,（公社）全国宅地建物取引業保証協会,0千円,不動産賃貸業,,,,本店,主,3/14/2005,"〒891-0113
鹿児島県鹿児島市東谷山２－１４－３",099-268-0545
150758,797,鹿児島県,(04)第005301号,有限会社鴨池コーポレーション,野上　政郎,本店,鹿児島県鹿児島市真砂本町２６－７,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005301,鹿児島県知事免許　(04)第005301号,法人,R02年04月01日からR07年03月31日まで,H17年03月31日,有限会社鴨池コーポレーション,野上　政郎,099-213-4766,（公社）全国宅地建物取引業保証協会,"3,000千円",その他,,,,本店,主,3/31/2005,"〒890-0067
鹿児島県鹿児島市真砂本町２６－７",099-213-4766
150759,798,鹿児島県,(04)第005302号,有限会社インテリアよつもと,四元　眞理,本店,鹿児島県鹿児島市上之園町２６－３,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005302,鹿児島県知事免許　(04)第005302号,法人,R02年04月01日からR07年03月31日まで,H17年03月31日,有限会社インテリアよつもと,四元　眞理,099-255-5588,（公社）全国宅地建物取引業保証協会,"5,000千円",卸売･小売業、飲食店,不動産賃貸業,,,本店,主,3/31/2005,"〒890-0052
鹿児島県鹿児島市上之園町２６－３",099-255-5588
150760,799,鹿児島県,(04)第005303号,九州宅建,髙田　清香,本店,鹿児島県鹿児島市西坂元町５０－１３,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005303,鹿児島県知事免許　(04)第005303号,個人,R02年04月05日からR07年04月04日まで,H17年04月04日,九州宅建,髙田　清香,099-248-2151,（公社）全国宅地建物取引業保証協会,0千円,兼業なし,,,,本店,主,4/4/2005,"〒892-0863
鹿児島県鹿児島市西坂元町５０－１３",099-248-2151
150761,800,鹿児島県,(04)第005305号,有限会社オフィスＦＮ,永野　浩一,本店,鹿児島県鹿児島市下敷１－７－１４,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005305,鹿児島県知事免許　(04)第005305号,法人,R02年04月08日からR07年04月07日まで,H17年04月07日,有限会社オフィスＦＮ,永野　浩一,099-219-5730,（公社）全国宅地建物取引業保証協会,"3,000千円",不動産賃貸業,不動産管理業,,,本店,主,4/7/2005,"〒890-0005
鹿児島県鹿児島市下敷１－７－１４",099-219-5730
150762,801,鹿児島県,(04)第005307号,有限会社プラザホーム,東　弘己,本店,鹿児島県鹿児島市師１－１－１３,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005307,鹿児島県知事免許　(04)第005307号,法人,R02年04月28日からR07年04月27日まで,H17年04月27日,有限会社プラザホーム,東　弘己,099-812-5560,（公社）全国宅地建物取引業保証協会,"3,000千円",兼業なし,,,,本店,主,4/27/2005,"〒890-0043
鹿児島県鹿児島市師１－１－１３",099-812-5560
150763,801,鹿児島県,(04)第005307号,有限会社プラザホーム,東　弘己,本店,鹿児島県鹿児島市師１－１－１３,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005307,鹿児島県知事免許　(04)第005307号,法人,R02年04月28日からR07年04月27日まで,H17年04月27日,有限会社プラザホーム,東　弘己,099-812-5560,（公社）全国宅地建物取引業保証協会,"3,000千円",兼業なし,,,,本店,主,4/27/2005,"〒890-0043
鹿児島県鹿児島市師１－１－１３",099-812-5560
150764,802,鹿児島県,(04)第005309号,かごしまＮＥＴ不動産,肥後　久雄,本店,鹿児島県鹿児島市荒田２－４－１３,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005309,鹿児島県知事免許　(04)第005309号,個人,R02年04月29日からR07年04月28日まで,H17年04月28日,かごしまＮＥＴ不動産,肥後　久雄,099-213-0788,（公社）全国宅地建物取引業保証協会,0千円,兼業なし,,,,本店,主,4/28/2005,"〒890-0054
鹿児島県鹿児島市荒田２－４－１３",099-213-0788
150765,803,鹿児島県,(04)第005315号,霧島不動産,西田　勝,本店,鹿児島県霧島市隼人町内３０８－１,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005315,鹿児島県知事免許　(04)第005315号,個人,R02年06月11日からR07年06月10日まで,H17年06月10日,霧島不動産,西田　勝,0995-43-3737,（公社）不動産保証協会,0千円,不動産管理業,,,,本店,主,6/10/2005,"〒899-5116
鹿児島県霧島市隼人町内３０８－１",0995-43-3737
150766,804,鹿児島県,(04)第005316号,有限会社ＯＮホーム,小野　優,本店,鹿児島県志布志市志布志町安楽４５５－４,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005316,鹿児島県知事免許　(04)第005316号,法人,R02年06月11日からR07年06月10日まで,H17年06月10日,有限会社ＯＮホーム,小野　優,099-478-1030,（公社）全国宅地建物取引業保証協会,"5,000千円",不動産賃貸業,不動産管理業,サービス業,,本店,主,6/10/2005,"〒899-7104
鹿児島県志布志市志布志町安楽４５５－４",099-478-1030
150767,805,鹿児島県,(04)第005318号,株式会社姶ライフ,下原　和博,本店,鹿児島県姶良市西田３２４６－５,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005318,鹿児島県知事免許　(04)第005318号,法人,R02年06月21日からR07年06月20日まで,H17年06月20日,株式会社姶ライフ,下原　和博,0995-66-5028,（公社）全国宅地建物取引業保証協会,"3,000千円",金融･保険業,不動産管理業,,,本店,主,6/20/2005,"〒899-5431
鹿児島県姶良市西田３２４６－５",0995-66-5028
150768,806,鹿児島県,(04)第005319号,アットウーマン有限会社,礒邉　法子,本店,鹿児島県鹿児島市谷山中央２－４１９２－１,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005319,鹿児島県知事免許　(04)第005319号,法人,R02年06月24日からR07年06月23日まで,H17年06月23日,アットウーマン有限会社,礒邉　法子,099-201-5330,（公社）全国宅地建物取引業保証協会,"4,000千円",金融･保険業,不動産賃貸業,不動産管理業,,本店,主,6/23/2005,"〒890-0141
鹿児島県鹿児島市谷山中央２－４１９２－１",099-201-5330
150769,807,鹿児島県,(04)第005320号,株式会社夢ネット鹿児島,明瀬　靖,本店,鹿児島県鹿児島市緑ヶ丘町４９－４,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005320,鹿児島県知事免許　(04)第005320号,法人,R02年06月29日からR07年06月28日まで,H17年06月28日,株式会社夢ネット鹿児島,明瀬　靖,099-800-2474,（公社）全国宅地建物取引業保証協会,"3,000千円",不動産管理業,,,,本店,主,6/28/2005,"〒891-1274
鹿児島県鹿児島市緑ヶ丘町４９－４",099-800-2474
150770,808,鹿児島県,(04)第005323号,株式会社クリエ,有村　鉄二,本店,鹿児島県鹿児島市本城町１８７２,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005323,鹿児島県知事免許　(04)第005323号,法人,R02年07月02日からR07年07月01日まで,H17年07月01日,株式会社クリエ,有村　鉄二,099-294-3110,（公社）全国宅地建物取引業保証協会,"100,000千円",建設業,,,,本店,主,7/1/2005,"〒891-1303
鹿児島県鹿児島市本城町１８７２",099-294-3110
150771,809,鹿児島県,(04)第005325号,東健ホーム,中村　健一郎,本店,鹿児島県鹿児島市下荒田４－１５－１２,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005325,鹿児島県知事免許　(04)第005325号,個人,R02年07月12日からR07年07月11日まで,H17年07月11日,東健ホーム,中村　健一郎,099-214-3834,（公社）全国宅地建物取引業保証協会,0千円,不動産賃貸業,,,,本店,主,7/11/2005,"〒890-0056
鹿児島県鹿児島市下荒田４－１５－１２",099-214-3834
150772,810,鹿児島県,(04)第005326号,田中産業株式会社,田中　高次,本店,鹿児島県鹿屋市吾平町麓３６１１,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005326,鹿児島県知事免許　(04)第005326号,法人,R02年07月12日からR07年07月11日まで,H17年07月11日,田中産業株式会社,田中　高次,0994-58-6016,（公社）全国宅地建物取引業保証協会,"22,200千円",建設業,不動産賃貸業,,,本店,主,7/11/2005,"〒893-1103
鹿児島県鹿屋市吾平町麓３６１１",0994-58-6016
150773,811,鹿児島県,(04)第005332号,くぼ不動産,窪　良則,本店,鹿児島県出水市武本１３７１８,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005332,鹿児島県知事免許　(04)第005332号,個人,R02年08月04日からR07年08月03日まで,H17年08月03日,くぼ不動産,窪　良則,0996-62-2352,（公社）全国宅地建物取引業保証協会,0千円,不動産賃貸業,,,,本店,主,8/3/2005,"〒899-0215
鹿児島県出水市武本１３７１８",0996-62-2352
150774,812,鹿児島県,(04)第005333号,コーア不動産,佐々木　康次,本店,鹿児島県出水市中央町４５５,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005333,鹿児島県知事免許　(04)第005333号,個人,R02年08月04日からR07年08月03日まで,H17年08月03日,コーア不動産,佐々木　康次,0996-62-5415,（公社）全国宅地建物取引業保証協会,0千円,兼業なし,,,,本店,主,8/3/2005,"〒899-0207
鹿児島県出水市中央町４５５",0996-62-5415
150775,813,鹿児島県,(04)第005334号,アスク不動産,仮屋　勝則,本店,鹿児島県鹿児島市吉野町４１３９－１,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005334,鹿児島県知事免許　(04)第005334号,個人,R02年08月04日からR07年08月03日まで,H17年08月03日,アスク不動産,仮屋　勝則,099-295-7156,（公社）全国宅地建物取引業保証協会,0千円,不動産賃貸業,サービス業,,,本店,主,8/3/2005,"〒892-0871
鹿児島県鹿児島市吉野町４１３９－１",099-295-7156
150776,814,鹿児島県,(04)第005335号,エイコー住宅産業有限会社,福田　英光,本店,鹿児島県鹿児島市田上３－５－２１,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005335,鹿児島県知事免許　(04)第005335号,法人,R02年08月04日からR07年08月03日まで,H17年08月03日,エイコー住宅産業有限会社,福田　英光,099-812-8878,（公社）不動産保証協会,"3,000千円",建設業,不動産賃貸業,不動産管理業,,本店,主,8/3/2005,"〒890-0034
鹿児島県鹿児島市田上３－５－２１",099-812-8878
150777,815,鹿児島県,(04)第005336号,ＲＡＣホームステッド,新川　司,本店,鹿児島県鹿児島市広木２－７－１,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005336,鹿児島県知事免許　(04)第005336号,個人,R02年08月04日からR07年08月03日まで,H17年08月03日,ＲＡＣホームステッド,新川　司,099-264-3411,（公社）全国宅地建物取引業保証協会,0千円,不動産賃貸業,,,,本店,主,8/3/2005,"〒890-0037
鹿児島県鹿児島市広木２－７－１",099-264-3411
150778,816,鹿児島県,(04)第005337号,本山不動産,本山　建一,本店,鹿児島県鹿児島市東谷山３－３３－１８,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005337,鹿児島県知事免許　(04)第005337号,個人,R02年08月04日からR07年08月03日まで,H17年08月03日,本山不動産,本山　建一,099-801-4139,（公社）全国宅地建物取引業保証協会,0千円,金融･保険業,不動産賃貸業,,,本店,主,8/3/2005,"〒891-0113
鹿児島県鹿児島市東谷山３－３３－１８",099-801-4139
150779,817,鹿児島県,(04)第005340号,株式会社常盤コンサルタント,常盤　大和,本店,鹿児島県霧島市国分下井３０５５－３,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005340,鹿児島県知事免許　(04)第005340号,法人,R02年08月19日からR07年08月18日まで,H17年08月18日,株式会社常盤コンサルタント,常盤　大和,0995-47-5388,（公社）不動産保証協会,"10,000千円",建設業,サービス業,,,本店,主,8/18/2005,"〒899-4463
鹿児島県霧島市国分下井３０５５－３",0995-47-5388
150780,818,鹿児島県,(04)第005343号,株式会社朝日観光開発,細山田　良一,本店,鹿児島県鹿児島市中央町３５－３１,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005343,鹿児島県知事免許　(04)第005343号,法人,R02年08月26日からR07年08月25日まで,H17年08月25日,株式会社朝日観光開発,細山田　隆子,099-251-9003,（公社）全国宅地建物取引業保証協会,"4,000千円",不動産賃貸業,不動産管理業,,,本店,主,8/25/2005,"〒890-0053
鹿児島県鹿児島市中央町３５－３１",099-251-9003
150781,819,鹿児島県,(04)第005345号,アイエイド有限会社,松元　孝,本店,鹿児島県鹿児島市武岡５－１５－１０,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005345,鹿児島県知事免許　(04)第005345号,法人,R02年09月21日からR07年09月20日まで,H17年09月20日,アイエイド有限会社,松元　孝,099-281-8286,（公社）全国宅地建物取引業保証協会,"3,000千円",不動産管理業,,,,本店,主,9/20/2005,"〒890-0031
鹿児島県鹿児島市武岡５－１５－１０",099-281-8286
150782,820,鹿児島県,(04)第005347号,朝日酢食品株式会社,今村　安隆,本店,鹿児島県霧島市隼人町内２１９８,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005347,鹿児島県知事免許　(04)第005347号,法人,R02年09月30日からR07年09月29日まで,H17年09月29日,朝日酢食品株式会社,今村　安隆,0995-42-6153,（公社）全国宅地建物取引業保証協会,"12,000千円",製造業,,,,本店,主,9/29/2005,"〒899-5116
鹿児島県霧島市隼人町内２１９８",0995-42-6153
150783,821,鹿児島県,(04)第005348号,株式会社晃栄住宅,仙田　次雄,本店,鹿児島県鹿児島市山田町３７７－１,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005348,鹿児島県知事免許　(04)第005348号,法人,R02年09月30日からR07年09月29日まで,H17年09月29日,株式会社晃栄住宅,仙田　次雄,099-275-6333,（公社）全国宅地建物取引業保証協会,"99,990千円",建設業,,,,本店,主,9/29/2005,"〒891-0104
鹿児島県鹿児島市山田町３７７－１",099-275-6333
150784,822,鹿児島県,(04)第005350号,株式会社盛岡電工,福元　一生,本店,鹿児島県薩摩川内市永利町３０２０－１,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005350,鹿児島県知事免許　(04)第005350号,法人,R02年10月21日からR07年10月20日まで,H17年10月20日,株式会社盛岡電工,福元　一生,0996-23-2385,（公社）全国宅地建物取引業保証協会,"50,000千円",建設業,,,,本店,主,10/20/2005,"〒895-0005
鹿児島県薩摩川内市永利町３０２０－１",0996-23-2385
150785,823,鹿児島県,(04)第005356号,わかば不動産,原口　宗義,本店,鹿児島県いちき串木野市河内３９１８－１,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005356,鹿児島県知事免許　(04)第005356号,個人,R02年11月15日からR07年11月14日まで,H17年11月14日,わかば不動産,原口　宗義,0996-32-0044,（公社）全国宅地建物取引業保証協会,0千円,不動産管理業,,,,本店,主,11/14/2005,"〒896-0079
鹿児島県いちき串木野市河内３９１８－１",0996-32-0044
150786,824,鹿児島県,(04)第005358号,有限会社マルナカ総業,中間　茂昭,本店,鹿児島県鹿児島市山田町６１１－１,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005358,鹿児島県知事免許　(04)第005358号,法人,R02年12月02日からR07年12月01日まで,H17年12月01日,有限会社マルナカ総業,中間　茂昭,099-264-1745,（公社）全国宅地建物取引業保証協会,"3,000千円",不動産賃貸業,不動産管理業,,,本店,主,12/1/2005,"〒891-0104
鹿児島県鹿児島市山田町６１１－１",099-264-1745
150787,825,鹿児島県,(04)第005361号,有限会社コウケン産業,今吉　洋,本店,鹿児島県鹿児島市中山２－４－５１,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005361,鹿児島県知事免許　(04)第005361号,法人,R02年12月16日からR07年12月15日まで,H17年12月15日,有限会社コウケン産業,今吉　洋,099-801-4185,（公社）全国宅地建物取引業保証協会,"3,000千円",建設業,不動産管理業,,,本店,主,12/15/2005,"〒891-0108
鹿児島県鹿児島市中山２－４－５１",099-801-4185
150788,826,鹿児島県,(04)第005363号,有限会社阿萬建設,阿萬　正次,本店,鹿児島県指宿市開聞十町２４９０－６,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005363,鹿児島県知事免許　(04)第005363号,法人,R03年01月07日からR08年01月06日まで,H18年01月06日,有限会社阿萬建設,阿萬　正次,0993-32-3587,（公社）全国宅地建物取引業保証協会,"3,000千円",建設業,その他,,,本店,主,1/6/2006,"〒891-0603
鹿児島県指宿市開聞十町２４９０－６",0993-32-3587
150789,827,鹿児島県,(04)第005364号,徳丸建設株式会社,德丸　久光,本店,鹿児島県薩摩郡さつま町二渡４９８３－１,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005364,鹿児島県知事免許　(04)第005364号,法人,R03年01月14日からR08年01月13日まで,H18年01月13日,徳丸建設株式会社,德丸　久光,0996-56-8913,（公社）全国宅地建物取引業保証協会,"10,000千円",林業,建設業,運輸･通信業,,本店,主,1/13/2006,"〒895-1723
鹿児島県薩摩郡さつま町二渡４９８３－１",0996-56-8913
150790,828,鹿児島県,(04)第005365号,株式会社クオリティホーム,橋口　貴,本店,鹿児島県霧島市隼人町孝２５,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005365,鹿児島県知事免許　(04)第005365号,法人,R03年01月25日からR08年01月24日まで,H18年01月24日,株式会社クオリティホーム,橋口　貴,0995-42-5867,（公社）全国宅地建物取引業保証協会,"6,000千円",建設業,金融･保険業,不動産賃貸業,不動産管理業,本店,主,1/24/2006,"〒899-5102
鹿児島県霧島市隼人町孝２５",0995-42-5867
150791,829,鹿児島県,(04)第005368号,株式会社ウィッシュ,八反田　忠弘,本店,鹿児島県鹿児島市上之園町２０－２３,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005368,鹿児島県知事免許　(04)第005368号,法人,R03年02月08日からR08年02月07日まで,H18年02月07日,株式会社ウィッシュ,八反田　忠弘,099-203-0155,（公社）不動産保証協会,"20,000千円",不動産賃貸業,,,,本店,主,2/7/2006,"〒890-0052
鹿児島県鹿児島市上之園町２０－２３",099-203-0155
150792,830,鹿児島県,(04)第005369号,株式会社増田材木店,増田　文博,本店,鹿児島県枕崎市東鹿篭７１１６,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005369,鹿児島県知事免許　(04)第005369号,法人,R03年02月18日からR08年02月17日まで,H18年02月17日,株式会社増田材木店,増田　文博,0993-72-3225,（公社）全国宅地建物取引業保証協会,"10,000千円",建設業,その他,,,本店,主,2/17/2006,"〒898-0021
鹿児島県枕崎市東鹿篭７１１６",0993-72-3225
150793,831,鹿児島県,(04)第005371号,有限会社タイカイ地建,東井上　陽市,本店,鹿児島県霧島市隼人町小田６０４－７,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005371,鹿児島県知事免許　(04)第005371号,法人,R03年03月02日からR08年03月01日まで,H18年03月01日,有限会社タイカイ地建,東井上　陽市,0995-42-9869,（公社）不動産保証協会,"3,000千円",不動産賃貸業,,,,本店,主,3/1/2006,"〒899-5105
鹿児島県霧島市隼人町小田６０４－７",0995-42-9869
150794,832,鹿児島県,(04)第005376号,合資会社アイハウス,松元　好和,本店,鹿児島県姶良市西姶良４－１－７,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005376,鹿児島県知事免許　(03)第005376号,法人,H28年03月30日からR03年03月29日まで,H18年03月29日,合資会社アイハウス,松元　好和,0995-55-0065,（公社）全国宅地建物取引業保証協会,0千円,兼業なし,,,,本店,主,3/29/2006,"〒899-5656
鹿児島県姶良市西姶良４－１－７",0995-55-0065
150795,833,鹿児島県,(04)第005380号,吉見商事有限会社,吉見　晃,本店,鹿児島県鹿児島市紫原５－４２－２８,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005380,鹿児島県知事免許　(03)第005380号,法人,H28年03月30日からR03年03月29日まで,H18年03月29日,吉見商事有限会社,吉見　晃,099-255-1903,（公社）全国宅地建物取引業保証協会,"3,000千円",不動産賃貸業,不動産管理業,,,本店,主,3/29/2006,"〒890-0082
鹿児島県鹿児島市紫原５－４２－２８",099-255-1903
150796,834,鹿児島県,(04)第005381号,有限会社友輝開発,五反　保,本店,鹿児島県鹿児島市吉野町６１３２,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005381,鹿児島県知事免許　(03)第005381号,法人,H28年03月30日からR03年03月29日まで,H18年03月29日,有限会社友輝開発,五反　保,099-244-2817,（公社）全国宅地建物取引業保証協会,"3,000千円",建設業,不動産賃貸業,,,本店,主,3/29/2006,"〒892-0871
鹿児島県鹿児島市吉野町６１３２",099-244-2817
150797,835,鹿児島県,(04)第005384号,有限会社三反田技建,三反田　悟,本店,鹿児島県出水市武本４７０４－１,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005384,鹿児島県知事免許　(03)第005384号,法人,H28年04月28日からR03年04月27日まで,H18年04月27日,有限会社三反田技建,三反田　悟,0996-63-5888,（公社）全国宅地建物取引業保証協会,"3,000千円",建設業,,,,本店,主,4/27/2006,"〒899-0215
鹿児島県出水市武本４７０４－１",0996-63-5888
150798,836,鹿児島県,(04)第005385号,有限会社みなと物産,岩﨑　智惠子,本店,鹿児島県鹿児島市唐湊１－１４－６７,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005385,鹿児島県知事免許　(03)第005385号,法人,H28年05月10日からR03年05月09日まで,H18年05月09日,有限会社みなと物産,岩﨑　智惠子,099-221-8765,（公社）不動産保証協会,"5,000千円",卸売･小売業、飲食店,不動産賃貸業,サービス業,,本店,主,5/9/2006,"〒890-0081
鹿児島県鹿児島市唐湊１－１４－６７",099-221-8765
150799,837,鹿児島県,(04)第005388号,石塚不動産,石塚　義一,石塚不動産,鹿児島県鹿児島市谷山中央１－４９７４－４－２０２,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005388,鹿児島県知事免許　(03)第005388号,個人,H28年05月20日からR03年05月19日まで,H18年05月19日,石塚不動産,石塚　義一,099-268-3336,（公社）全国宅地建物取引業保証協会,0千円,その他,不動産賃貸業,,,石塚不動産,主,5/19/2006,"〒891-0141
鹿児島県鹿児島市谷山中央１－４９７４－４－２０２",099-268-3336
150800,838,鹿児島県,(04)第005392号,株式会社タウンマネジメント,宇都　泰平,本店,鹿児島県鹿児島市平之町６－２,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005392,鹿児島県知事免許　(03)第005392号,法人,H28年05月31日からR03年05月30日まで,H18年05月30日,株式会社タウンマネジメント,宇都　幸雄,099-226-6560,（公社）全国宅地建物取引業保証協会,"2,000千円",不動産賃貸業,不動産管理業,,,本店,主,5/30/2006,"〒892-0827
鹿児島県鹿児島市中町５－２４",099-226-6560
150801,839,鹿児島県,(04)第005395号,エービーシーホーム,坪山　正子,本店,鹿児島県志布志市志布志町志布志２－１５－１６,http://etsuran.mlit.go.jp/TAKKEN/tkGaiyo.do?sv_licenseNo=46005395,鹿児島県知事免許　(03)第005395号,個人,H28年06月02日からR03年06月01日まで,H18年06月01日,エービーシーホーム,坪山　正子,099-473-8133,（公社）不動産保証協会,0千円,不動産賃貸業,不動産管理業,,,本店,主,6/1/2006,"〒899-7103
鹿児島県志布志市志布志町志布志２－１５－１６",099-473-8133
